Title,Links,Publication Date
В Москве загорелся ангар на территории завода,https://tass.ru/proisshestviya/17146091,"Sun, 26 Feb 2023 23:08:59 +0300"
"Кадыров: бойцы спецназа ""Ахмат"" прошли курсы по управлению квадрокоптерами",https://tass.ru/armiya-i-opk/17146089,"Sun, 26 Feb 2023 23:08:14 +0300"
Словения намерена развивать экономические отношения с Австрией,https://tass.ru/mezhdunarodnaya-panorama/17146087,"Sun, 26 Feb 2023 22:38:46 +0300"
СМИ: десятки палестинцев пострадали в стычках с израильтянами на Западном берегу,https://tass.ru/mezhdunarodnaya-panorama/17146073,"Sun, 26 Feb 2023 22:28:49 +0300"
AP: в Шри-Ланке в результате акций протеста пострадали 15 человек,https://tass.ru/obschestvo/17146041,"Sun, 26 Feb 2023 22:28:02 +0300"
Белый дом приветствовал договоренности израильтян и палестинцев о предотвращении эскалации,https://tass.ru/mezhdunarodnaya-panorama/17146065,"Sun, 26 Feb 2023 22:25:51 +0300"
Посол РФ: поставка ФРГ танков Украине переведет конфликт на новый уровень эскалации,https://tass.ru/politika/17146045,"Sun, 26 Feb 2023 22:24:31 +0300"
В Белоруссии планируют в 2023 году нарастить экспорт промышленной продукции в РФ на 10%,https://tass.ru/ekonomika/17146055,"Sun, 26 Feb 2023 22:22:26 +0300"
Двое сирийских военных погибли в результате обстрела со стороны боевиков,https://tass.ru/armiya-i-opk/17146021,"Sun, 26 Feb 2023 22:04:26 +0300"
Папуа - Новая Гвинея откроет посольство в Израиле,https://tass.ru/mezhdunarodnaya-panorama/17146031,"Sun, 26 Feb 2023 22:02:20 +0300"
"Боррель заявил, что Евросоюз изучит план Китая по Украине",https://tass.ru/mezhdunarodnaya-panorama/17146001,"Sun, 26 Feb 2023 21:56:12 +0300"
В Бразилии поприветствовали инициативу КНР по Украине,https://tass.ru/mezhdunarodnaya-panorama/17145973,"Sun, 26 Feb 2023 21:36:47 +0300"
ФРГ закажет самоходные артиллерийские установки к концу марта для пополнения запасов ВС,https://tass.ru/mezhdunarodnaya-panorama/17145949,"Sun, 26 Feb 2023 21:34:12 +0300"
"Футболисты ""Манчестер Юнайтед"" стали обладателями Кубка английской лиги",https://tass.ru/sport/17145965,"Sun, 26 Feb 2023 21:30:46 +0300"
В Белоруссии опровергли информацию о перестрелке на границе с Украиной,https://tass.ru/mezhdunarodnaya-panorama/17145959,"Sun, 26 Feb 2023 21:29:05 +0300"
"Экс-госсекретарь США призвала не считать, что в ситуации на Украине время на стороне Киева",https://tass.ru/mezhdunarodnaya-panorama/17145909,"Sun, 26 Feb 2023 21:28:31 +0300"
Экс-глава МИД Югославии: ЕС ультимативно призвал Сербию признать независимость Косова,https://tass.ru/mezhdunarodnaya-panorama/17145899,"Sun, 26 Feb 2023 21:12:38 +0300"
В Петропавловской крепости Масленицу встретили блинным пирогом,https://tass.ru/v-strane/17145827,"Sun, 26 Feb 2023 21:11:01 +0300"
В России в 2022 году почти 50 уголовных дел возбудили за дебоши в аэропортах и самолетах,https://tass.ru/obschestvo/17145873,"Sun, 26 Feb 2023 21:09:51 +0300"
Женщина пострадала в ходе конфликта со стрельбой на трассе в Подмосковье,https://tass.ru/proisshestviya/17145833,"Sun, 26 Feb 2023 21:08:07 +0300"
